주인장,어서오세요.
갈런,안녕하세요.
갈런,여기가 안 아프게 죽도록 도와주는 가게가 맞나요?
주인장,"네, 맞습니다."
갈런,확실한가요? 지금까지 몇 곳 정도 갔었지만 모두 거짓말 뿐 이었어요.
주인장,...
갈런,하하하...! 드디어 소문으로 들었던 가게를 찾았네요!
갈런,한참을 헤메며 찾아다녔습니다.
갈런,저를 빨리 죽을 수 있게 제에발! 도와주세요.
주인장,손님은 다른 손님과 달리 죽는다는 것이 기뻐보이시네요.
갈런,그럼요. 즐거우면 안 되는건가요?
주인장,"그건 아닙니다만, 손님께서는 특별하시네요."
주인장,여길 찾는 대부분의 사람들은 우울해보이거나 절망에 찬 사람들이 찾아오니까요. 
갈런,주인장님은 죽은 뒤에 어떻게 될지 아시나요?
주인장,잘 모르겠습니다.
갈런,"정말로 죽으면 환생을 할지, 한 줌의 재가 될지 궁금하지 않으신가요?"
갈런,주인장님! 저는 못 참는게 딱 2개 있어요.  짜증이 나는 것과 궁금한 건! 참을수가 없어요…!
갈런,제 어릴 적에 학창 시절 내내 귀찮게 한 친구가 있었죠. 틈만 나면 저를 항상 방해하고~괴롭히고~. 그 친구 덕분에 친구도 안 생겼죠.
갈런,그 망할 친구들과  함께 즐~겁고 재밌는 수많은 연구를 같이 해왔지만.
갈런,"예를 들면, 해부라든가 신약 실험이라든가…"
갈런,성과가 없었어요. 
갈런,몸뚱아리만 있는 쓸데없는 놈들...
갈런,아.. 그래도 그땐 재미있었어요. …더 궁금하신가요?
주인장,...
갈런,"암튼, 주위 사람들은 모두 하나같이 제가 미쳤다고 해요."
갈런,하지만 종교에서의 천국과 지옥의 개념이 있듯이 저는 사후세계를 믿어요.
갈런,비록 죽기 몇 초 동안은 고통스럽고 누군가는 슬퍼하겠지만 저는 새로운 경험을 할 수 있을거라 생각해요.
갈런,죽은 뒤에 경험했던것이나 보았던 기록을 이 세계에서 할 수 없다는게 아쉬워요.
갈런,빨리 죽게 도와주세요.
갈런,"삶에 대한 미련을 물으신다면,"
갈런,저는 대부분 홀로 연구만하느라 혼자 있던 시간이 많았네요. 누구나 부러워할 노벨상도 받았지만 그렇다할 친구같은 사람도 없어서  그래서 딱히 미련은 없어요.
갈런,오히려
갈런,저는 정말 이순간이 재밌는걸요.
갈런,어떤 세상이 저를 반겨줄지 기대가 되네요.
주인장,어떤 세상이 당신을 반겨주든
주인장,당신의 선택이 최고의 선택이 되기를.