name,explain,pefectRecipe
케이트,말도 안되는 마녀사냥으로 억울하게 죽은 소녀. 부모님조차 자신을 믿어주지 않아 사람에 대한 신뢰가 무너졌다. 소녀가 말하길 아무도 자신의 말을 믿지도 듣지도 않아서 벽이랑 대화하는 느낌이라 했다.,진실된 영혼
해리슨,새 영주때문에 세금과 물가 폭등으로 빚에 시달린 농부. 감당할 수 없는 빚 가족에 대한 죄책감으로 도피하듯 떠돌았던 것 같다.,조화 위의 꿀벌
애런_엘리,귀족인 애런과 평민인 엘리의 사랑. 로미오와 줄리엣 같았던 이 연인은 결국 같이 죽는 죽음을 선택한다. 신분차이 때문에 둘의 연애를 절대 반대하는 애런의 부모에게 쫓기는 신세였다.,운명의 수례바퀴
프레드,부모님에게 팔려진 노예. 그는 공장에서의 막노동과 텃새 혼란스러운 환경에서 살았다. 돈이 없어 여동생의 죽음을 그저 바라만 볼 수 밖에 없는 현실에 결국 삶을 놓아버린다.,물웅덩이 속의 세상
브리아나,세계 공연을 다니는 유명한 Diva. 화려하고 빛나는 만큼 그림자가 어둡다고 했나. 그녀는 자신의 삶에 허탈감을 느끼며 극심한 우울과 외로움에 시달린다.,플라스틱 다이아몬드
마야,부모님의 죽음에 대한 감정을 느낄 새도 없이 살아가기 위해 꿋꿋이 살다 동생의 죽음으로 무너진 소녀. 그녀는 이미 온갖 감정이 폭발한 상태였다. 그녀에게 있어 동생은 이 힘든 삶을 버틸 수 있게 해준 마지막 마지노선이었다.,감정의 실링
리암,자신의 죽음을 선택한 인자한 노인. 치매가 오고 난 후.. 온전한 기억을 갖고 죽고 싶다는 사진의 결정을 이루려고 하다 가게에 들어오게 된다. 그의 인자한 마지막 미소를 보면 행복한 삶을 살았던 것 같다.,태양의 샤워
마일즈,전쟁에서 살아돌아 온 후 정신이 나간 청년. 그는 불안 환청 환각에 시달려 제정신을 유지하지 못하는 것 같다. 자신도 이 끔찍한 깨어있는 악몽에서 벗어나기 위해 이 가게를 방문하게 된 것 같다.,무명의 유령
이든,부모님의 지나친 교육열 때문에 정신적으로. 육체적으로 망가진 소년. 자신을 몰아붙이는 부모님으로부터 인정과 사랑을 원한다. 부모님의 지나친 억압으로 인간관계가 없지만 소년은 누군가 자신의 힘듦과 죽음을 알아주고 막아주기를 바란다.,햇빛 사냥
벤,빚 때문에 가난의 굴레에 벗어날 수 없는 청년. 빚을 갚을려고 많은 것을 포기했다. 가난의 굴레에서 해방하기 위해 가게를 찾아오게 되었다.,눈물로 만든 폐수
갈런,언듯보면 밝은 사람 같지만 어딘가 미쳐있는 과학자. 죽음을 두려워하지 않은 손님. 죽음을 기대하고 오히려 죽은 후의 사후세계를 기록할 수 없다는 점을 아쉬워하는 손님이었다.,미친 모자장수의 홍차
노렌,아내가 돌아가고 상실한 삶을 사시는 듯한 부유한 노신사. 몇 십년 동안 쌓아진 마음의 상실감이 정원의 방화가 발화점이 되어 가게를 찾아 올 수 있게 된 것 같다. 그에게 있어 정원은 상실을 채워줄 유일한 취미였다.,겨울 소나기